,Timestamp,Checker,Benchmark,Total steps,Guest cycles,Setup time,Guest loading time,Preprocessing time,Proving time,Verification time,Total time,Tokens
63,2024-11-03 9:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/4.erc20transfer_success_total/4.erc20transfer_success_tm_0.mm,2099313,,,,,224.9906158,8.993971105,,3684
64,2024-11-03 9:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/36.erc20transfer_success_total/36.erc20transfer_success_tm_0_2.mm,1381410,,,,,110.982525,4.317171197,,3758
65,2024-11-03 9:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/12.erc20transfer_success_total/12.erc20transfer_success_tm_0_2.mm,1510600,,,,,111.2227378,4.324251979,,4048
66,2024-11-03 9:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/18.erc20transfer_success_total/18.erc20transfer_success_tm_0.mm,2337166,,,,,225.970781,9.002140567,,4155
67,2024-11-03 9:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/20.erc20transfer_success_total/20.erc20transfer_success_tm_0_4.mm,1775564,,,,,111.2858554,4.318214937,,4661
68,2024-11-03 9:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/6.erc20transfer_success_total/6.erc20transfer_success_tm_0_2.mm,1775564,,,,,111.7157265,4.32364748,,4661
69,2024-11-03 9:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/22.erc20transfer_success_total/22.erc20transfer_success_tm_0_2.mm,1775564,,,,,110.7493066,4.321932039,,4661
70,2024-11-03 9:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/36.erc20transfer_success_total/36.erc20transfer_success_tm_0_1.mm,2384097,,,,,226.92994,8.985400482,,5260
71,2024-11-03 9:41:27,cairo,imp/mm-proofs/erc20transfer_success_resugared_32_slices/16.erc20transfer_success_total/16.erc20transfer_success_tm_0_3.mm,2384097,,,,,224.8927279,9.005213629,,5260
72,2024-11-03 9:41:27,cairo,imp/mm-proofs/erc20transfer_success_regular_32_slices/20.erc20transfer_success_total/20.erc20transfer_success_tm_0_5.mm,3786968,,,,,227.6693538,8.993383905,,5640
